Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
GOODWOOD EXT 1;https://www.property24.com/for-sale/ruyterwacht/goodwood/western-cape/8110/112386418;House;Sale;;;;;R750 000 ;2 Bedroom House for Sale in Ruyterwacht;https://images.prop24.com/301983711/Ensure1280x720|https://images.prop24.com/301983712/Ensure1280x720;https://images.prop24.com/301983711/Ensure1280x720;;;;2.0;1.0
GOODWOOD EXT 1;https://www.property24.com/for-sale/elsies-river/goodwood/western-cape/33200/110999219;House;Sale;;;518 m²;;R1 350 000 ;3 Bedroom House for Sale in Elsies River;https://images.prop24.com/313721956/Ensure1280x720|https://images.prop24.com/313721957/Ensure1280x720;https://images.prop24.com/313721956/Ensure1280x720;;;518 m²;3.0;1.5
GOODWOOD EXT 1;https://www.property24.com/for-sale/riverton/goodwood/western-cape/8150/112427749;House;Sale;;;503 m²;;R1 795 000 ;3 Bedroom House for Sale in Riverton;https://images.prop24.com/302726447/Ensure1280x720|https://images.prop24.com/302726449/Ensure1280x720;https://images.prop24.com/302726447/Ensure1280x720;1.0;;503 m²;3.0;1.5
GOODWOOD EXT 1;https://www.property24.com/for-sale/ruyterwacht/goodwood/western-cape/8110/110623118;House;Sale;;;508 m²;;R1 640 000 ;4 Bedroom House for Sale in Ruyterwacht;https://images.prop24.com/272879929/Ensure1280x720|https://images.prop24.com/272879930/Ensure1280x720;https://images.prop24.com/272879929/Ensure1280x720;2.0;;508 m²;4.0;2.0
GOODWOOD EXT 1;https://www.property24.com/for-sale/goodwood-central/goodwood/western-cape/8100/112081935;House;Sale;;;320 m²;;R2 995 000 ;House for Sale in Goodwood Central;https://images.prop24.com/296833456/Ensure1280x720|https://images.prop24.com/296833457/Ensure1280x720;https://images.prop24.com/296833456/Ensure1280x720;;;320 m²;;
GOODWOOD EXT 1;https://www.property24.com/for-sale/goodwood-central/goodwood/western-cape/8100/110313973;House;Sale;;;496 m²;;R2 695 000 ;3 Bedroom House for Sale in Goodwood Central;https://images.prop24.com/267505245/Ensure1280x720|https://images.prop24.com/301800603/Ensure1280x720;https://images.prop24.com/267505245/Ensure1280x720;2.0;;496 m²;3.0;2.0
GOODWOOD EXT 1;https://www.property24.com/for-sale/townsend-estate/goodwood/western-cape/10830/109858102;House;Sale;;;495 m²;1;R2 995 000 ;5 Bedroom House for Sale in Townsend Estate;https://images.prop24.com/259820825/Ensure1280x720|https://images.prop24.com/259820819/Ensure1280x720;https://images.prop24.com/259820825/Ensure1280x720;3.0;;495 m²;5.0;4.0
GOODWOOD EXT 1;https://www.property24.com/for-sale/ruyterwacht/goodwood/western-cape/8110/111181240;House;Sale;;;552 m²;;R2 650 000 ;4 Bedroom House for Sale in Ruyterwacht;https://images.prop24.com/302920689/Ensure1280x720|https://images.prop24.com/302920692/Ensure1280x720;https://images.prop24.com/302920689/Ensure1280x720;3.0;;552 m²;4.0;3.0
GOODWOOD EXT 1;https://www.property24.com/for-sale/tygerdal/goodwood/western-cape/8114/109785241;House;Sale;;;666 m²;1;R2 740 000 ;4 Bedroom House for Sale in Tygerdal;https://images.prop24.com/258620136/Ensure1280x720|https://images.prop24.com/258620137/Ensure1280x720;https://images.prop24.com/258620136/Ensure1280x720;2.0;;666 m²;4.0;3.0
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/113303258;House;Sale;;;516 m²;;R2 450 000 ;4 Bedroom House for Sale in Avondale;https://images.prop24.com/315432686/Ensure1280x720|https://images.prop24.com/315432687/Ensure1280x720;https://images.prop24.com/315432686/Ensure1280x720;1.0;;516 m²;4.0;3.0
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/112823565;House;Sale;;;496 m²;;R2 100 000 ;4 Bedroom House for Sale in Avondale;https://images.prop24.com/309482237/Ensure1280x720|https://images.prop24.com/309482236/Ensure1280x720;https://images.prop24.com/309482237/Ensure1280x720;;;496 m²;4.0;2.0
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/112732205;House;Sale;;;420 m²;Security Gate, Burglar Bars;R1 695 000 ;3 Bedroom House for Sale in Avondale;https://images.prop24.com/307935223/Ensure1280x720|https://images.prop24.com/307935224/Ensure1280x720;https://images.prop24.com/307935223/Ensure1280x720;1.0;135 m²;420 m²;3.0;2.0
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/112323845;House;Sale;;;545 m²;;R2 499 000 ;3 Bedroom House for Sale in Avondale;https://images.prop24.com/300886334/Ensure1280x720|https://images.prop24.com/300886335/Ensure1280x720;https://images.prop24.com/300886334/Ensure1280x720;;235 m²;545 m²;3.0;2.0
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/112961639;House;Sale;;;518 m²;;R2 195 000 ;3 Bedroom House for Sale in Avondale;https://images.prop24.com/311053183/Ensure1280x720|https://images.prop24.com/311053184/Ensure1280x720;https://images.prop24.com/311053183/Ensure1280x720;1.0;;518 m²;3.0;1.0
AVONDALE - PAROW;https://www.property24.com/for-sale/avondale/parow/western-cape/8169/112859040;House;Sale;;;473 m²;1;R2 550 000 ;3 Bedroom House for Sale in Avondale;https://images.prop24.com/310092480/Ensure1280x720|https://images.prop24.com/310092481/Ensure1280x720;https://images.prop24.com/310092480/Ensure1280x720;2.0;;473 m²;3.0;2.0
