Suburb Name;source_url;type_of_property;sale_rent;backup water;back-up power;Size;Security;Price;name;Images;Image;garages;floor_size;erf_size;bedrooms;bathrooms
BANTRY BAY;https://www.property24.com/to-rent/bantry-bay/cape-town/western-cape/11013/112148440;Apartment / Flat;Rent;NULL;NULL;NULL;NULL;R30 000 ;1 Bedroom Apartment / Flat to Rent in Bantry Bay;NULL;https://images.prop24.com/298488640/Crop600x400;1.0;50 m²;NULL;1.0;1.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/113252239;Apartment / Flat;Sale;NULL;NULL;NULL;24 hour manned complex security;R10 950 000 ;2 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/314865016/Ensure1280x720|https://images.prop24.com/314865260/Ensure1280x720;https://images.prop24.com/314865016/Ensure1280x720;NULL;143 m²;NULL;2.0;2.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/113114647;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R5 800 000 ;2 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/294019629/Ensure1280x720|https://images.prop24.com/313672879/Ensure1280x720;https://images.prop24.com/294019629/Ensure1280x720;NULL;111 m²;NULL;2.0;2.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/112873591;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R4 650 000 ;1 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/310323125/Ensure1280x720|https://images.prop24.com/310323127/Ensure1280x720;https://images.prop24.com/310323125/Ensure1280x720;NULL;69 m²;NULL;1.0;1.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/108779726;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R3 250 000 ;1 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/256249664/Ensure1280x720|https://images.prop24.com/256249666/Ensure1280x720;https://images.prop24.com/256249664/Ensure1280x720;NULL;58 m²;NULL;1.0;1.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/109882024;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R5 900 000 ;3 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/260222548/Ensure1280x720|https://images.prop24.com/260222526/Ensure1280x720;https://images.prop24.com/260222548/Ensure1280x720;1.0;156 m²;NULL;3.0;3.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/112033547;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R4 650 000 ;1 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/295989143/Ensure1280x720|https://images.prop24.com/295989138/Ensure1280x720;https://images.prop24.com/295989143/Ensure1280x720;NULL;69 m²;NULL;1.0;1.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/112028984;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R5 500 000 ;2 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/295907962/Ensure1280x720|https://images.prop24.com/295907963/Ensure1280x720;https://images.prop24.com/295907962/Ensure1280x720;1.0;102 m²;NULL;2.0;2.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/112219265;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R13 500 000 ;2 Bedroom Apartment / Flat for Sale in Bantry Bay;https://images.prop24.com/299051739/Ensure1280x720|https://images.prop24.com/299051740/Ensure1280x720;https://images.prop24.com/299051739/Ensure1280x720;2.0;151 m²;2 348 m²;2.0;2.0
BANTRY BAY;https://www.property24.com/for-sale/bantry-bay/cape-town/western-cape/11013/112517835;Apartment / Flat;Sale;NULL;NULL;NULL;NULL;R2 695 000 ;1 Bedroom Apartment / Flat for Sale in Bantry Bay;NULL;NULL;NULL;80 m²;NULL;1.0;1.0
