source_url,type_of_property,Size,Security,Price,name,Images,Image,garages,floor_size,erf_size,bedrooms,bathrooms
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/112736433,House,496 m²,"Alarm System, 24 Hour Response",R 3 799 000,3 Bedroom House for Sale in Kenilworth,https://images.prop24.com/308010699/Ensure1280x720|https://images.prop24.com/308010700/Ensure1280x720,https://images.prop24.com/308010699/Ensure1280x720,1.0,125 m²,496 m²,3.0,3.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/113097424,House,428 m²,Security including automatic gates and security gates,R 3 800 000,3 Bedroom House for Sale in Kenilworth,https://images.prop24.com/313352181/Ensure1280x720|https://images.prop24.com/313352182/Ensure1280x720,https://images.prop24.com/313352181/Ensure1280x720,1.0,,428 m²,3.0,2.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/112985864,House,195 m²,"Totally Fenced, Alarm System, 24 Hour Response",R 2 100 000,2 Bedroom House for Sale in Kenilworth,https://images.prop24.com/311480885/Ensure1280x720|https://images.prop24.com/311480886/Ensure1280x720,https://images.prop24.com/311480885/Ensure1280x720,,93 m²,195 m²,2.0,1.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/112958518,House,496 m²,,R 3 500 000,3 Bedroom House for Sale in Kenilworth,https://images.prop24.com/311008885/Ensure1280x720|https://images.prop24.com/311008886/Ensure1280x720,https://images.prop24.com/311008885/Ensure1280x720,1.0,,496 m²,3.0,2.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/113062709,House,294 m²,,R 2 595 000,2 Bedroom House for Sale in Kenilworth,https://images.prop24.com/312882724/Ensure1280x720|https://images.prop24.com/312882725/Ensure1280x720,https://images.prop24.com/312882724/Ensure1280x720,,,294 m²,2.0,1.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/113118242,House,200 m²,,R 2 175 000,3 Bedroom House for Sale in Kenilworth,https://images.prop24.com/313747116/Ensure1280x720|https://images.prop24.com/313747113/Ensure1280x720,https://images.prop24.com/313747116/Ensure1280x720,1.0,,200 m²,3.0,1.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/113225438,House,202 m²,"Totally Fenced, 24 Hour Response, Perimeter Wall, Safe",R 2 250 000,2 Bedroom House for Sale in Kenilworth,https://images.prop24.com/314536225/Ensure1280x720|https://images.prop24.com/314536226/Ensure1280x720,https://images.prop24.com/314536225/Ensure1280x720,,,202 m²,2.0,1.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/112868517,House,148 m²,,R 2 795 000,3 Bedroom House for Sale in Kenilworth,https://images.prop24.com/310277920/Ensure1280x720|https://images.prop24.com/310277921/Ensure1280x720,https://images.prop24.com/310277920/Ensure1280x720,2.0,200 m²,148 m²,3.0,2.5
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/112347118,House,342 m²,"Security Gate, Alarm System, Burglar Bars, Perimeter Wall",R 3 195 000,3 Bedroom House for Sale in Kenilworth,https://images.prop24.com/301299596/Ensure1280x720|https://images.prop24.com/301299597/Ensure1280x720,https://images.prop24.com/301299596/Ensure1280x720,,147 m²,342 m²,3.0,2.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/111397289,House,,,R 3 100 000,3 Bedroom House for Sale in Kenilworth,https://images.prop24.com/312531315/Ensure1280x720|https://images.prop24.com/312531316/Ensure1280x720,https://images.prop24.com/312531315/Ensure1280x720,1.0,490 m²,,3.0,2.0
https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/113231528,House,390 m²,,R 3 200 000,4 Bedroom House for Sale in Kenilworth,https://images.prop24.com/314645565/Ensure1280x720|https://images.prop24.com/314645568/Ensure1280x720,https://images.prop24.com/314645565/Ensure1280x720,1.0,,390 m²,4.0,2.0
